,role_or_degree,role_code
5752,"senior analyst, business analytics",9259
5753,data integrity specialist,2764
5754,software and systems support associate,10359
5755,dms associate / programmer,3115
5756,data specialist and web researcher,2803
5757,senior data analyst (client: procter and gamble asia pte ltd),9426
5758,"data analyst (client: practical logic pty ltd, sydney)",2710
5759,data analyst (client: procter and gamble asia pte ltd),2711
5760,technical coordinator,11478
5763,university research associate i,12020
5764,principal software engineer,7482
5767,marketing communications supervisor,6495
5768,"senior team leader, pressure management (marketing communications)",10060
5769,"team leader, technical writing (regulator technologies)",11403
5770,"technical support engineer, technical writer (regulator technologies)",11591
5773,front end developer,3806
5779,asst. manager - service delivery administration and ers order entry,985
5780,employee,3231
5781,supervisor - service delivery administration,10943
5782,it finance manager,5514
5783,team lead - business finance supervisor,11322
5786,supply chain team leader,11045
5787,materials analyst,6569
5789,industrial engineering technician,5128
5793,purchasing and compliance review officer,8120
5794,production planner & raw material supervisor ,7782
5797,billing analyst,1186
5803,marketing and customer service supervisor,6468
5805,specialist marketing,10627
5806,"contracts and compliance assistant manager (emerson electric (asia), ltd. rohq",2165
5807,senior legal officer,9623
5808,legal officer,6112
5809,mediation staff officer v,6607
5810,mediation staff assistant ii-jdr,6606
5811,tracking specialist,11820
5812,paralegal,7186
5813,supply chain optimization solutions analyst,11028
5815,logistics industrial engineer,6183
5817,"senior administrator, talent acquisition - onboarding",9232
5826,"senior lead, electrical and electronics supply chain analytics",9619
5828,data science lead (assistant manager),2797
5829,"marketing supervisor, business data intelligence",6538
5830,"unit leader, business data intelligence",12007
5831,"specialist 2, sales and marketing",10596
5832,"specialist 1, sales and marketing",10588
5833,"analyst 2, sales and marketing",396
5834,"analyst 1, sales and marketing",393
5839,human resource operations and systems manager,4901
5843,technical support engineer 2 - global drafting,11581
5844,service engineer,10201
5845,"team lead, social media",11370
5846,lead marketing & communications specialist,5994
5847,marketing communications specialist,6494
5848,branding professional,1276
5849,digital marketer,2991
5850,learning & development professional,6059
5853,"associate information technology analyst 2, business systems ",871
5856,senior team lead/training specialist,10051
5857,team lead - uk and escalation team,11340
5858,team lead - us inbound team,11343
5860,senior inventory analyst,9581
5861,senior data quality assurance analyst – finance and accounting team,9436
5862,customer care consultant,2467
5863,associate software engineer (sap s/4 hana functional analyst),929
5866,operations performance analyst,7034
5868,junior it specialist,5824
5869,supervisor general ledger,10950
5870,otc tower lead,7151
5871,general accounting team lead,3878
5872,customer master and collections lead,2532
5873,indirect procurement application support - sme / junior lead,5118
5874,accounts receivable / collections specialist,234
5875,billing & collection,1182
5876,accounting assistant/billing & collection,156
5877,talent management assistant supervisor,11251
5878,human resources senior lead specialist,5011
5883,senior general ledger specialist,9513
5884,general ledger specialist ii,3888
5886,accounts receivable assistant,236
5887,senior strategic workplace solutions manager,9992
5888,"manager, techical services",6398
5889,technical services supervisor,11534
5890,operations officer,7031
5891,component engineering supervisor,2018
5892,sr. component engineer / sr. team lead,10684
5893,supplier quality engineer,10977
5895,failure analysis engineer,3529
5896,lead system engineer/system application administrator. itil v3 certified.,6029
5898,assistan supervisor it,597
5900,collection team lead,1902
5902,transaction processor associates,11903
5903,transaction processing new associates,11900
5904,accounting trainee,191
5906,contact center associate,2109
5908,human resource coordinator,4889
5916,hr admin/officer,4393
5918,global hris talent management coordinator ii,3965
5919,global hris talent management coordinator,3964
5920,"human resources specialist, total rewards",5030
5921,human resources representative,5009
5922,technical support engineer - senior proposals engineer,11576
5923,technical support engineer - product support,11575
5924,quality control analyst,8231
5925,archer software engineer,541
5926,"software engineer, itss vendavo",10434
5927,data integration administrator (software engineer),2760
5928,technical consultant,11468
5930,cashier (part-time),1614
5931,student trainee,10900
5932,specialist ii logistics coordinator,10620
5939,tax and compliance manager,11284
5940,assistant manager - tax and corporate services,667
5941,tax consultant (secondment),11289
5943,"director, finance",3076
5944,"senior manager, finance, procurement and logistics",9673
5945,"manager, financial planning and procurement",6359
5946,"manager, financial planning",6358
5947,"strategic planner, office of the vice president/general manager (concurrent role)",10855
5948,"assistant manager, financial planning",691
5949,"lead analyst, financial planning",5960
5952,"technical support engineer ii, quote and order management",11588
5953,"technical support engineer i, quote and order management",11586
5955,senior technical services manager,10084
5959,"specialist ii, talent acquisition sourcing",10626
5960,"specialist i, talent acquisition sourcing",10613
5961,service analyst,10135
5962,system analyst intern,11092
5963,senior talent acquisition recruiting specialist,10038
5965,converge infrastructure analyst,2192
5966,technology support specialist,11698
5967,system engineer – backup administrator,11105
5968,it support engineer-team leader,5624
5969,assistant system administrator,741
5970,backup administrator,1141
5971,it support engineer cum helpdesk,5623
5972,computer technician/administrator,2038
5973,digital engagement software engineer,2988
5974,full stack web developer,3834
5986,"specialist i, general ledger",10611
5989,operations analyst 2,6977
5992,production planner for card readers,7783
5995,cost engineer,2297
5998,intellectual property engineer,5262
5999,process/fa (failure analysis) engineer,7604
6001,finance service owner,3617
6003,senior hris specialist,9544
6004,hris coordinator,4848
6005,global hr support specialist,3961
6006,payroll assistant,7240
6007,hr timekeeper,4812
6010,support staff,11065
6012,technical support technician,11629
6017,service staff,10238
6018,staff auditor,10813
6019,"senior analyst, human resources",9263
6020,hr lead for support and analytics,4606
6021,hr lead for engagement,4605
6023,hr officer trainee,4635
6030,"specialist 1, tax and compliance",10591
6031,tax and compliance associate,11283
6032,intern - budget technical bureau,5295
6033,compliance specialist,2012
6037,associate business data analyst,826
6038,client service representative,1804
6039,client services representative,1807
6040,process and systems specialist,7518
6044,proposal support associate,8085
6045,proposal assistant,8079
6046,sales data analyst,8897
6047,digitalization lead,3019
6048,automation lead,1062
6053,pricing administrator i,7464
6055,administrative officer,305
6057,deal management analyst - cs&a,2828
6058,customer operations specialist - super user,2550
6059,customer operations specialist - end consumer,2544
6060,marketing and communications intern,6465
6061,specialist for contracts & pricing-rins team,10603
6062,senior accountant ,9217
6063,junior accountant analyst,5751
6067,accounts payable and account management specialist,205
6069,recruitment advisor,8367
6072,clinical committee head,1817
6073,apprentice,533
6074,educational intern,3194
6077,commercial lead,1937
6078,contracts and procurement- buyer,2170
6079,contracts and procurement - requisition to pay (rtp) analyst,2169
6080,sr sap technical consultant and incident manager,10674
6081,talent sourcer - resourcing delivery graduates and executives,11264
6082,hr | recruitment,4822
6083,hr | recruitment specialist,4823
6084,talent acquisition specialist iii,11222
6085,sales clerk,8892
6086,contracting & procurement commercial lead,2150
6088,procurement lead - t0 logistics,7645
6089,procurement specialist - fleet & logistics,7656
6091,trading & supply operations engineering intern,11836
6092,cp analyst,2339
6094,licensed financial advisor,6131
6095,head of financial committee,4186
6097,taxpayer services program and monitoring division,11299
6099,international customer service professional,5366
6100,english instructor,3318
6101,admin assistant,273
6102,quality analyst (hk glh claims),8173
6103,medical claims processor (hk glh claims),6613
6104,recruitment and onboarding specialist,8395
6107,internal communications advisor,5358
6108,credit risk specialist,2408
6109,credit risk analyst,2404
6110,senior accounts payable analyst,9224
6113,supply chain commercial lead,10996
6114,supply chain team lead,11044
6115,"senior project manager - accounts payable operational excellence, expenditure",9826
6116,"contracting & procurement mi analyst - management information/planning & performance, cp-operations",2153
6117,senior technical buyer,10074
6118,lead/supply management analyst; production control planner; inventory control lead,6040
6119,senior buyer / planner,9363
6120,international buyer-new products introduction/engineering dept.,5364
6121,branding & sourcing lead,1274
6125,it compliance/ security assurance,5489
6126,senior risk transformation consultant,9886
6127,global customer innovation manager,3929
6128,global vehicle servicing manager,4032
6129,retail lubricants manager,8754
6130,retail territory manager,8768
6132,resourcing advisor,8736
6133,project hr advisor,7947
6134,hr - talent acquisition & onboarding,4378
6136,human resource generalist,4892
6137,process data engineer,7527
6138,product marketing engineer,7723
6139,systems specialist - expenditure te,11159
6140,implementation manager,5070
6141,"support engineer - expense, invoice, travel",11059
6142,marketing consultant,6496
6145,chargeback gate officer/ merchant service,1710
6146,customer service officer,2608
6148,processing executive,7605
6150,analyst - gsr operations,381
6151,technical support agent,11559
6153,customer operations specialist - international aviation,2545
6154,customer engagement officer,2493
6155,hr process and system specialist,4677
6156,process specialist (google),7582
6157,program coordinator ii (google),7833
6160,service restoration coordinator,10237
6161,member services associate,6636
6162,customer success specialist,2661
6163,guest services officer,4115
6164,front office agent,3812
6166,commis waitress,1940
6167,customer services specialist,2653
6168,financial analyst - human resource,3634
6169,business financial anaylst - cards,1394
6170,customer service representative -teller,2628
6171,materials scheduler,6577
6172,senior procurement data analyst,9789
6174,senior data analyst - hydrocarbon management data,9427
6175,project data analyst - hydrocarbon management data,7909
6176,mechanical engineering student,6595
6177,talent and de&i operations advisor,11234
6178,talent and wpa operations advisor,11237
6179,"regional student management lead and philippine country focal, shell eco-marathon (sem) asia",8572
6181,international mobility - mass compensation specialist,5372
6182,international mobility - project business administrator,5373
6183,service advisor global expatriate,10134
6184,tenured hr associate,11727
6186,business interface controller (purchase / sales / contracts),1414
6187,contracts and pricing analyst,2167
6188,tax compliance specialist,11288
6190,it assistant,5475
6193,data analytics specialist,2727
6195,jv btc sr specialist,5895
6196,assurance associate,997
6197,cp commercial lead - shipping,2341
6199,contracting and procurement,2154
6200,commercial business development supervisor,1933
6202,insurance officer,5254
6203,procurement assistant (ojt),7621
6204,cp commercial lead,2340
6207,maintenance planner and scheduler,6227
6208,project document and data management technician,7920
6209,planning engineer,7357
6210,junior planner,5849
6211,administrative assistant/planning assistant,296
6212,project assistant,7895
6213,document controller assistant on-the-job-trainee,3121
6215,"senior buyer, contracting and procurement",9365
6216,"buyer, contracting and procurement",1516
6217,"project buyer, contracting and procurement",7900
6218,planning assistant,7354
6219,supply chain manager,11025
6221,senior channel marketing manager,9372
6222,senior major accounts manager,9628
6223,major accounts manager,6238
6226,senior. customer care consultant,10123
6227,global employer brand marketing advisor - brand and channels,3936
6228,"regional marketing advisor - philippines, malaysia, india, poland",8549
6229,corporate communications manager,2225
6230,shell eco-marathon asia: project coordinator and apac student management lead,10278
6231,regional communications assistant (shell eco-marathon asia),8526
6232,ceo/founder,1660
6234,vice president for promotions dlsu junior entrepreneurs' marketing association,12121
6235,programs head,7885
6236,sc procurement specialist,9127
6238,intern production operator,5317
6240,recruitment operations specialist,8461
6241,hr global services - jpo specialist,4587
6243,hr intern ,4594
6245,senior associate - accounts payable,9294
6246,associate - accounts payable,812
6252,customer operations specialist,2542
6253,junior bank specialist,5783
6256,supply chain commercial lead - east production,10999
6258,contract specialist,2146
6261,vice president for publicity and publications,12122
6262,economic model coordinator,3171
6266,special studies engineer,10563
6267,legal counsel,6105
6270,global hr consultant - downstream,3954
6271,southeast asia recruiter,10541
6272,hr consultant - the philippines,4557
6273,hr business partner - brunei darussalam,4518
6274,hr adviser - the philippines / change lead,4405
6275,hr advisor - usa corporate functions,4429
6276,hr services project manager - motiva jv dissolution,4749
6277,lasallian mission services intern,5950
6278,corporate planning and strategy implementation intern,2264
6279,human resources - global functions intern,4920
6280,project controls analyst,7905
6282,mechanical internship training,6598
6285,executive sales representative,3448
6286,hr investigator,4598
6287,senior hr advisor,9524
6291,recruitment supervisor - it / senior technical recruiter,8490
6292,account consultant,55
6294,control analyst,2175
6297,operations intern,7003
6298,spes,10644
6301,payroll clerk,7244
6303,operations support specialist (trading settlements),7069
6304,operations support advisor (trading mrd),7060
6305,vendor data analyst,12073
6306,contract data analyst,2144
6307,cpt analyst,2348
6309,phone screener,7330
6310,planning and performance lead,7353
6311,business insights manager,1400
6312,strategy insights manager,10869
6313,asst. business insights manager,980
6314,business planning analyst,1435
6315,part-time professor - graduate studies in marketing,7201
6317,"summer intern (1st batch, vip)",10925
6318,customer operations support analyst,2556
6319,customer operations specialist - canada trading & supply and retail - customer facing super user,2543
6320,video editor,12145
6325,chief executive,1730
6326,university registration assistant,12018
6328,sourcer,10503
6330,career specialist ,1589
6331,graduate operations advisor,4066
6332,talent operations advisor,11257
6333,recruitment operations advisor ,8456
6334,compensation and benefits intern,1990
6336,senior talent associate,10041
6337,talent associate,11238
6338,operations support associate,7065
6341,hr & admin officer,4372
6343,hr assistant - administrative services (reliever),4472
6344,hr staff,4787
6345,senior specialist - market risk,9965
6346,settlements specialist,10263
6347,supply trading interface - specialist/asst. team manager,11053
6348,purchase analyst,8111
6349,senior accountant - dairy queen,9218
6350,sales accountant - pizzahut,8857
6351,bank reconcialiation and a/r accountant - pizzahut,1152
6352,controls assurance specialist,2188
6355,full-time college instructor,3838
6357,internal audit associate,5347
6358,external audit associate ,3484
6359,"contract and procurement specialist - data, downstream trading & supply",2141
6361,e-catalogue specialist - master data,3153
6362,digital procurement associate,3009
6363,digital procurement assistant,3008
6364,supply chain management and systems intern,11022
6365,production services engineer,7791
6366,shell advanced technical programme - production operations,10277
6367,operations engineer (natural gas plant),6997
6368,integrated activity planner (immersion program),5255
6369,shell graduate programme - production operations,10280
6372,operations support specialist,7068
6373,senior controls analyst,9395
6374,accounts payable - senior associate,202
6375,accounts payable - associate,201
6377,project sourcer,8049
6378,human resources specialist i,5029
6379,registration officer i (operations coordinator),8588
6380,guidance counselor,4121
6381,volunteer staff,12172
6383,customer ops specialist - order to cash ,2560
6384,event organizer,3385
6386,cnc machinist,1862
6387,ethics and compliance manager - philippines & thailand,3375
6389,retail business assurance manager,8750
6390,site assurance and retailer billing lead,10299
6391,credit specialist - team lead,2411
6394,audit and accounting supervisor,1015
6395,senior control analyst,9394
6404,senior credit process expert (senior manager),9409
6405,senior business process consultant (senior associate),9357
6406,audit associate (associate),1019
6407,senior consultant,9386
6408,business analyst (prrt project),1311
6409,sap ps consultant (flng project),9059
6410,sap ps consultant,9058
6411,sap ps data consultant,9060
6412,sap ps/pm consultant,9061
6413,sap consultant: business support: deputy team lead,8999
6414,sap consultant,8997
6415,sap wm consultant - support,9117
6416,ap & fi process owner,442
6419,financial market analyst 4,3653
6420,content analyst,2116
6421,hr advice,4399
6427,creative solutions specialist ,2361
6428,senior human resource coordinator ,9546
6429,knowledge management assistant,5916
6430,delivery fulfillment analyst,2853
6433,analyst - receivables management ,387
6434,admin intern,276
6435,project resourcing advisor,8044
6440,customer service sales representative,2640
6441,resourcing advisor - emea,8738
6442,hr recruiter - asia and the pacific region,4699
6444,recruitment associate/hr coordinator,8417
6446,hr project advisor,4684
6449,senior accounts payable (issue resolution),9223
6450,senior accounts payable associate,9225
6454,snippet content writer,10335
6455,client support representative i (usd),1810
6456,terminal operations administrator | permit issuer | shore officer | pollution control officer,11731
6457,terminal operations administrator,11730
6458,trainee engineer,11842
6459,customer success macrodistributor-east,2660
6460,customer operations coach,2539
6461,merchant dealer specialist,6652
6462,customer service professional,2611
6463,hr process analyst recruit/talent,4671
6464,hr advisor/process focal point - deploy,4452
6465,"hr advisor, trading & supply",4449
6466,local services casework advisor,6168
6467,supply chain analyst - data,10984
6468,project analyst - product data,7894
6469,systems and improvement: intern,11138
6472,senior buyer / contracts specialist,9362
6473,buyer / procurement specialist,1507
6474,university presence project vice chairperson for marketing,12016
6475,internal communications intern,5359
6477,marketing adhoc vice chairperson,6453
6478,communications strategy vice chairperson,1965
6479,education and research committee co-chairperson,3188
6480,welder riding team cs aidaluna,12269
6481,welder riding team cs aidaprima,12271
6483,welder riding team cs aidadiva,12268
6484,welder riding team cs aidamar,12270
6485,welder riding team cs aidastella,12272
6486,welder riding team cs aidavita,12273
6487,fitter,3708
6488,mechanical fitter,6596
6489,motorman cs island sky,6730
6491,fitter m/t leni,3709
6492,oiler m/t achatina,6907
6493,oiler spear type lng vessel galea,6910
6494,oiler membrain type lng delta,6909
6495,oiler m/v sonora,6908
6496,wiper vlcc type vessel nordpower,12296
6497,technical rating deck and engine cs ventura,11519
6498,technical rating deck and engine cs arcadia,11518
6499,wiper to fitter oil /chem tanker m/t antea,12295
6500,wiper oil/chem tanker m/t navarino,12294
6501,team lead - ph country/ sbo operations,11333
6503,recruitment operations associate- background investigation team,8458
6506,human resources specialist / organizational development specialist,5026
6507,senior recruiter ii,9859
6509,talent shared services associate,11262
6515,supply chain category specialist,10995
6516,category buyer for energy & industrial gases,1619
6517,buyer for downstream manufacturing americas,1509
6518,human resources recruitment transactions advisor,5008
6519,international marine supply chain analyst,5370
6520,billing administrator,1185
6521,customer master data analyst for new zealand,2536
6523,lead process analyst,5995
6524,tesd specialist ,11739
6525,junior project officer,5857
6528,control system it engineer,2181
6529,control system/it,2182
6530,gsde- global support desk engineer,4107
6531,field engineer,3543
6532,pima engineer,7343
6533,field pima engineer,3563
6535,t&s process improvement lead,11164
6536,supply chain senior scheduler - uk,11038
6537,supply chain senior scheduler - nordics,11037
6538,supply chain scheduler,11036
6539,inventory and demand planner,5411
6540,inventory and supply planner,5412
6541,global billing operations digitalization team member,3912
6543,retailer billing - technical lead/ specialist (manual billing),8771
6544,superuser - manual billing (east countries),10933
6545,level b - operations associate,6124
6546,faculty instructor - electrical engineering department,3526
6547,refinery reliability engineer (sr. process data engineer),8506
6548,cfb power plant maintenance planner,1667
6549,refinery electrical reliability engineer,8500
6551,team manager - contracts and procurement data,11413
6554,junior team manager,5883
6555,research analyst 2,8671
6558,civil engineer,1758
6560,operational support specialist for shell energy,6970
6561,senior master data analyst ,9703
6562,master data analyst,6547
6564,senior hr practitioner - onboarding,9540
6565,talent shared services senior associate,11263
6567,hr associate - payroll,4500
6569,guidance and testing intern,4118
6575,financial controls assurance team lead at shell,3649
6576,financial controls design advisor,3650
6577,accounts payable senior analyst,215
6579,customer success lead,2659
6581,customer operations specialist - retail accounts: key accounts & general merchandise ,2547
6582,supply chain liaison officer,11016
6583,telephone banker - retail/business/online banking,11715
6584,project operations support,8039
6586,refinery operator,8501
6590,human resources advisor - philippines operations,4932
6591,tank maintenance engineer,11274
6592,mechanical supervisor - piping/tank,6601
6593,construction supervisor,2056
6594,mechanical qc supervisor (mechanical/tank/piping/steel structure),6600
6595,field engineer sr. - tank,3546
6596,field engineer - tank / crane coordinator,3545
6597,field engineer - tank,3544
6600,specialist - vendor assessment,10577
6601,credit analyst - receivables management,2371
6602,credit analyst - cash application/allocation,2370
6603,treasury department intern,11953
6607,senior process data engineer,9769
6608,control engineer,2179
6609,plant auditor,7364
6612,human resources advisor,4931
6613,human resources project advisor,5002
6614,human resources specialist / executive assistant,5025
6615,controls assurance senior analyst,2186
6616,risk assurance analyst,8804
6617,risk assurance associate,8805
6619,cultural exchange student,2448
6620,specialist - credit trading & supply,10568
6621,collections officer - junior assistant manager,1917
6622,senior collections assistant,9379
6623,collections assistant ii,1910
6624,collections assistant,1909
6625,customer operations and support,2538
6626,franchising clerk,3758
6628,business process lead (recruitment),1453
6629,lead specialist via ams,6020
6630,recruitment specialist via ams,8486
6631,"hr associate, employee relations",4506
6632,"hr associate, talent acquisition",4508
6637,chemical engineer,1718
6638,physics tutor,7342
6639,mathematics tutor,6584
6642,regional hr generalist,8540
6644,project staff,8053
6645,business partner,1433
6646,"supervisor, talent management",10967
6647,"technical assistant, integrated lifestyle and wellness (ilaw) center",11465
6648,practicum trainee,7435
6649,hr advisor - us operations - projects & technologies and global functions,4426
6650,organizational development specialist,7140
6653,guidance officer,4126
6654,human resources for admin and staffing,4971
6658,channel distributor executive,1693
6661,marketing admin associate,6455
6662,social media manager for export marketing bureau,10349
6663,customer service assistant,2586
6665,trainee - office of asean affairs,11841
6669,advisor,336
6670,hr process analyst - payroll,4668
6671,process and system specialist - rewards,7516
6672,process focal point - deploy,7561
6674,hr advisor - canada operations,4414
6675,hr associate - canada operations,4499
6678,research department intern ,8695
6679,assistant vice president - publicity,778
6680,contracts & procurement excellence lead,2162
6681,procurement specialist (buyer),7654
6682,spend management advisor - coupa functional,10642
6683,spend management advisor - source services,10643
6684,manager trainee,6347
6685,project customer success specialist,7908
6686,retail officer,8756
6687,guest experience manager,4108
6690,operations manager - talent,7021
6691,migration manager - philippines operations,6689
6692,operations manager - talent & learning ,7022
6693,migration manager - latin america operations,6688
6694,implementation manager - hr integrated operations,5071
6695,business continuity planning manager,1351
6696,operations manager - learning administration,7019
6697,implementation and project manager - hr services phase 2,5066
6698,operations manager - systems support ,7020
6699,project delivery manager - business site move,7912
6700,hr service desk analyst,4740
6701,owner / operations manager,7166
6703,"supply chain manager, technology",11026
6705,technical staff 2,11550
6711,operations support team lead,7072
6712,settlement subject matter expert,10259
6713,specialist - motiva integration project,10573
6714,intragroup hydrocarbon assistant team manager – settlement/contracts & pricing,5406
6715,accounts receivable collection specialist,240
6717,integrated resourcing,5258
6718,hr project advisor- integrated resourcing,4694
6719,hr advisor team lead ,4440
6720,part-time recruiter,7202
6723,human resources specialist- recruitment (shared services),5031
6725,international mobility lead,5375
6726,international mobility specialist,5376
6727,global expatriate advisor,3939
6728,hr training intern,4817
6729,ayala group summer internship program - intern,1133
6732,expatriate transactions advisor,3462
6733,cadp summer analyst,1540
6734,national key accounts intern,6758
6735,"executive of corporate relations, annual recruitment week 2021",3442
6736,"assistant team head of integrated marketing solutions, award-giving bodies 2021",744
6737,"assistant team leader for corporate relations, lasallian enrichment alternative program 2021",751
6738,"assistant team leader of events, 13th students' convention: resurgence",756
6740,marketing junior associate,6507
6741,"team head, document - logistics",11316
6742,"project head, primera celebracion",7942
6744,"project head, bagong luto",7940
6745,"host, yugto ii: reach for new horizon",4364
6746,vice president for internal oversight,12120
6747,"project head, sea the reality",7943
6748,"project head, change: socially responsible brands to applaud",7941
6749,supply chain commercial lead for projects (greenfield/brownfied),11002
6750,"capex procurement (contract, costing and project management)",1572
6751,"procurement specialist (capex, marketing, maintenance, repair & operation supplies)",7655
6752,procurement engineer (technical buyer/expediting coordinator),7634
6753,qc process improvement analyst technician,8164
6754,senior analyst - energy and risk accounting,9242
6758,senior supply planner - north america lubricants supply chain,10005
6759,refinery product scheduler,8505
6760,business interface analyst - trading and supply,1413
6761,logistics dealmaker - trading and supply,6179
6762,supply and distribution-enterprise optimization intern,10978
6763,subject matter expert/hr systems expert,10920
6764,authorizations specialist,1050
6769,corporate finance intern,2238
6771,associate vice president for finance,954
6773,finance department intern,3600
6775,digital customer care representative,2983
6776,assistant vice president for documentations,789
6777,assistant vice chairperson for marketing and linkages,766
6778,logistics transportation intern,6200
6779,"executive for organizational development, 70th eng batch student government",3438
6780,"chairperson for research & development, 70th eng batch student government",1673
6781,assistant vice president for logistics,791
6782,master data management - product process specialist (fuels & specialities),6552
6783,finance operation data analyst - master data management (product master),3605
6784,finance operation maintainer analyst - master data management (product master),3606
6785,supply chain performance and risk management – project engineer,11029
6786,purchasing assistant / buyer,8123
6788,recruitment advisor - emea,8371
6792,controls assurance team lead,2189
6797,payroll support specialist,7257
6798,recruitment advisor - hire and onboard,8372
6800,career architect,1585
6803,senior system specialist,10020
6807,digital operations analyst,3004
6808,smart automation operations analyst,10324
6812,senior hr advisor - canada operations,9526
6814,project hr advisor - canada operations,7948
6818,intermediate sales support specialist,5284
6819,billing specialist,1193
6821,contracting and procurement analyst,2155
6828,junior bookkeeper,5784
6830,project advisor,7892
6831,employee engagement and compensation & benefits specialist,3236
6832,employee engagement and l&d officer,3237
6833,employee engagement coordinator,3239
6834,national director for finance,6755
6835,regional head for finance management,8538
6838,recruitment & capability lead,8353
6839,retail supervisor,8765
6841,recruitment officer ,8453
6844,financial reporting lead,3669
6849,clerical assistant,1778
6850,recruitment services advisor,8468
6851,recruiter - center support (corporate),8332
6852,candidate screening specialist,1555
6853,sr. recruitment associate,10755
6854,intern (recruitment),5292
6855,operational excellence lead,6965
6856,specialist - reporting and analysis,10576
6857,analyst - record to report (general accounting),388
6858,oic specialist – credit management – debt collection,6903
6860,deal management specialist -pricing,2829
6861,consumer welfare representative,2106
6862,human resources - ojt,4924
6863,workday configurations lead,12315
6864,regional transformation coordinator,8578
6865,hris manager/workday support manager,4852
6866,business process admin lead,1442
6869,environmental health safety specialist,3346
6870,environmental safety and health engineer,3349
6872,graduate operations advisor - technical,4067
6873,lower level program head & senior instructor,6203
6874,recruitment and onboarding coordinator - asia pacific (ex. india) ii manila campus recruitment lead,8393
6878,cadet planning engineer,1537
6879,health safety environment officer,4311
6880,refinery operator apprentice,8502
6881,qa engineer,8148
6886,reporting & analysis operational excellence lead,8649
6887,fixed assets analyst,3712
6889,new product introduction,6814
6891,yield technician,12360
6892,sr. lead technician,10712
6894,strategic sourcing officer,10862
6896,procurement engineer 2 (compliance),7639
6897,student trainee- logistics department,10902
6898,recruitment advisor - assessment management,8368
6899,project hr advisor - ph operations,7949
6901,sourcing intern,10522
6903,talent attraction and selection associate,11240
6905,organizational development associate,7138
6907,multilingual customer service agent ,6741
6908,multilingual it service desk agent ,6743
6909,business process expert,1449
6911,senior audit analyst,9320
6913,senior finance analyst,9490
6916,senior analyst - cp data material engineer,9241
6917,material sourcing coordinator,6568
6918,design and cost engineer,2935
6919,inspection engineer,5235
6920,mechanical inspector,6597
6921,assistant engineer - spool controller,622
6922,assistant engineer - test package review personnel,624
6923,assistant engineer - qc inspector,621
6924,assistant engineer - structural supervisor,623
6925,qa outfitting inspector,8153
6927,policy and benefit - hr advisor,7397
6930,senior employee data management,9464
6931,lubricants supply planner - production,6207
6932,retail wetstock manager ph,8770
6934,maintenance team lead - process c,6233
6935,engineer ii,3292
6937,contracting and procurement specialist,2159
6938,business specialist,1472
6939,ar analyst,538
6940,hr process analyst - hire and onboard,4667
6941,workday hcm configuration analyst,12316
6942,team lead - hr systems support,11330
6943,hr process & systems analyst,4665
6944,subject matter expert - sap hcm,10912
6945,hr services advisor,4741
6948,pgs process expert,7302
6949,process specialist - contracting and procurement data ,7585
6950,process specialist - services and contracts data,7590
6951,senior mrd analyst,9712
6952,associate process engineer (group leader),901
6953,as group leader,576
6954,as trainee,577
6955,associate process engineer,900
6956,production scheduler,7790
6957,quality assurance technician,8218
6962,hr advice - canada,4401
6964,hr advisor us operations,4441
6965,"hr advisor payroll, time, tax, and benefits us/ca",4437
6967,pipeline engineer,7344
6968,operations engineer (control room operator),6995
6969,site hsse representative,10305
6970,operations engineer (field operator / area authority),6996
6971,turnaround 2015 offshore operations focal point,11986
6972,graduate mechanical engineer,4065
6973,graduate assistant,4055
6974,hr mi analyst,4626
6975,global reporting analyst | resourcing support,4003
6976,specialist | contracting and procurement - data quality and performance excellence,10629
6977,data quality analyst | business intelligence - analytics,2791
6978,business analyst | business intelligence - analytics,1328
6979,business analyst | analytics - operations,1327
6980,senior specialist | analytics - operations,9975
6981,business process improvement specialist | analytics,1450
6982,specialist | analytics - yield management,10628
6983,business process improvement specialist | customer service,1451
6984,team leader | export documentation,11395
6985,business representative,1464
6987,documentation associate | export documentation,3126
6989,events representative,3403
6990,customer sales assistant - intern,2573
6991,director for human resources department,3044
6994,customer experience specialist,2513
6995,sr. hr advisor,10703
6997,"short term international assignee in buenos aires, argentina ",10292
6998,assistant language teacher,636
6999,hr advisor latin america operations,4436
7001,executive committee for external affairs,3432
7003,hr process analyst deploy,4670
7004,human resources team lead,5035
7006,hr advisor - international mobility,4417
7010,junior recruitment specialist,5859
7012,recruiting sourcer,8348
7014,virtual delivery support,12154
7015,recruitment business partner,8418
7019,specialist - recruitment,10575
7020,specialist - hr operations,10570
7021,"specialist - learning & development, human resources",10571
7022,hr specialist - organizational development,4771
7023,hr specialist - account management,4767
7029,hr account manager,4382
7032,hrsc tier 1 analyst,4859
7037,"team lead, hr operations",11366
7038,"hr advisor, talent & er/ir",4447
7039,"hr advisor, global functions & downstream",4444
7040,"hr advisor, tier 1 systems",4448
7041,marketing specialist,6535
7042,human resources trainee,5036
7043,customer service respresentative,2639
7044,assistant team manager,758
7045,group reporting specialist,4098
7048,finance and accounting associate,3587
7054,lieutenant (lta),6135
7059,human resources senior staff,5014
7062,tactical procurement specialist,11168
7063,purchasing buyer,8125
7064,project sales engineer,8045
7066,senior data analyst - vendor,9428
7067,te compliance associate,11300
7079,hr officer - recruitment,4634
7083,global hr consultant - global functions and finance,3955
